ID	Sex	BirthYear	BY.min	BY.max
C244991FRH	2	NA	2019	2022
C244992FRH	2	NA	2019	2022
C244993FRH	2	NA	2019	2022
C244994FRH	2	NA	2019	2022
C244995FRH	2	NA	2019	2022
C244996FRH	2	NA	2019	2022
C244997FRH	2	NA	2019	2022
C244998FRH	2	NA	2019	2022
C244999FRH	2	NA	2019	2022
C245000FRH	2	NA	2019	2022
C245001FRH	1	NA	2019	2022
C245002FRH	1	NA	2019	2022
C245003FRH	2	NA	2019	2022
C245004FRH	1	NA	2019	2022
C245005FRH	1	NA	2019	2022
C245006FRH	2	NA	2019	2022
C245007FRH	2	NA	2019	2022
C245008FRH	2	NA	2019	2022
C245009FRH	2	NA	2019	2022
C245010FRH	2	NA	2019	2022
C245011FRH	1	NA	2019	2022
C245012FRH	1	NA	2019	2022
C245027FRH	2	NA	2019	2022
C245028FRH	2	NA	2019	2022
C245029FRH	2	NA	2019	2022
C245030FRH	2	NA	2019	2022
C245031FRH	2	NA	2019	2022
C245032FRH	2	NA	2019	2022
C245033FRH	2	NA	2019	2022
C245034FRH	2	NA	2019	2022
C245035FRH	1	NA	2019	2022
C245036FRH	1	NA	2019	2022
C245037FRH	1	NA	2019	2022
C245038FRH	1	NA	2019	2022
C245039FRH	1	NA	2019	2022
C245040FRH	1	NA	2019	2022
C245041FRH	1	NA	2019	2022
C245042FRH	1	NA	2019	2022
C245043FRH	1	NA	2019	2022
C245044FRH	1	NA	2019	2022
C245045FRH	1	NA	2019	2022
C245046FRH	1	NA	2019	2022
C245047FRH	1	NA	2019	2022
C245048FRH	1	NA	2019	2022
C245049FRH	1	NA	2019	2022
C245050FRH	1	NA	2019	2022
C245051FRH	1	NA	2019	2022
C245052FRH	1	NA	2019	2022
C245053FRH	2	NA	2019	2022
C245054FRH	2	NA	2019	2022
C245055FRH	2	NA	2019	2022
C245056FRH	2	NA	2019	2022
C245057FRH	2	NA	2019	2022
C245058FRH	2	NA	2019	2022
C245059FRH	2	NA	2019	2022
C245060FRH	2	NA	2019	2022
C245061FRH	1	NA	2019	2022
C245062FRH	1	NA	2019	2022
C245063FRH	1	NA	2019	2022
C245064FRH	1	NA	2019	2022
C245065FRH	1	NA	2019	2022
C245066FRH	1	NA	2019	2022
C245067FRH	2	NA	2019	2022
C245068FRH	2	NA	2019	2022
C245069FRH	2	NA	2019	2022
C245070FRH	2	NA	2019	2022
C245071FRH	2	NA	2019	2022
C245072FRH	2	NA	2019	2022
C245073FRH	2	NA	2019	2022
C245074FRH	2	NA	2019	2022
C245075FRH	2	NA	2019	2022
C245076FRH	2	NA	2019	2022
C245077FRH	1	NA	2019	2022
C245078FRH	2	NA	2019	2022
C245079FRH	2	NA	2019	2022
C245080FRH	1	NA	2019	2022
C245081FRH	1	NA	2019	2022
C245082FRH	1	NA	2019	2022
C245093FRH	2	NA	2019	2022
C245094FRH	1	NA	2019	2022
C245095FRH	1	NA	2019	2022
C245096FRH	2	NA	2019	2022
C245098FRH	2	NA	2019	2022
C245099FRH	2	NA	2019	2022
C245100FRH	2	NA	2019	2022
C245101FRH	2	NA	2019	2022
C245102FRH	2	NA	2019	2022
